phylum_name;species_name;lat;lon;country;province_state;region;sector;exactsite
Arthropoda;Ampithoe rubricata;45,373;-64,331;Canada;Nova Scotia;Cumberland County;Parrsboro;
Arthropoda;Caprella linearis;50,131;-66,564;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,131;-66,564;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,131;-66,564;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Ampithoe rubricata;46,491;-63,305;Canada;Prince Edward Island;Queens County;Orby Head;
Arthropoda;Ampithoe rubricata;46,491;-63,305;Canada;Prince Edward Island;Queens County;Orby Head;
Arthropoda;Centropages typicus;55,006;5,373;North Sea;;;;
Arthropoda;Centropages typicus;55,006;5,373;North Sea;;;;
Arthropoda;Centropages typicus;43,7;-6,15;Spain;Continental Iberia;;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;Mediterranean Sea;;;;
Arthropoda;Centropages typicus;NA;NA;North Sea;;;;
Arthropoda;Centropages typicus;NA;NA;North Sea;;;;
Arthropoda;Centropages typicus;NA;NA;North Sea;;;;
Arthropoda;Centropages typicus;NA;NA;North Sea;;;;
Arthropoda;Centropages typicus;NA;NA;North Sea;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
Arthropoda;Centropages typicus;NA;NA;;;;;
