Nothrus anauniensis
Notoplites saojorgensis
Notostomus elegans
Nototeredo norvagica
Novocrania anomala
Obelia bidentata
Obelia dichotoma
Obelia geniculata
Obtusella roseotincta
Oceania armata
Ocenebra chavesi
Ocenebra erinaceus
Ochetostoma azoricum
Ocinebrina aciculata
Octopoteuthis sicula
Octopus salutii
Octopus vulgaris
Ocythoe tuberculata
Odostomella doliolum
Odostomia acuta
Odostomia bernardi
Odostomia duureni
Odostomia fehrae
Odostomia kuiperi
Odostomia lukisii
Odostomia megerlei
Odostomia striolata
Odostomia suboblonga
Odostomia turriculata
Odostomia turrita
Odostomia unidentata
Okenia picoensis
Omalogyra antarctica
Omalogyra simplex
Omalogyra undosa
Ommastrephes bartramii
Onchidella celtica
Ondina diaphana
Onoba moreleti
Onuphis eremita
Onychocella angulosa
Onychoteuthis banksii
Onykia robsoni
Opalia crenata
Ophiacantha bidentata
Ophiactis virens
Ophidiaster ophidianus
Ophiocomina nigra
Ophioconis forbesi
Ophiocten affinis
Ophiopsila aranea
Ophiothrix fragilis
Ophiothrix luetkeni
Ophiura albida
Oplophorus spinosus
Oppiella nova
Orania fusulus
Orchestia gammarellus
Orchestia mediterranea
Oribatula tibialis
Orthopyxis integra
Oscarella lobularis
Ostrea edulis
Ovatella vulcani
Pachycerianthus solitarius
Pachygrapsus marmoratus
Pachygrapsus maurus
Pachymerium ferrugineum
Pagurus bernhardus
Pagurus cuanensis
Pagurus prideaux
Palaemon elegans
Palaemon serratus
Palicus caronii
Palinurus elephas
Palliolum incomparabile
Paludinella globularis
Pandea conica
Papillicardium papillosum
Paracalyptrophora josephinae
Paracentrotus lividus
Paracerceis sculpta
Paractaea monodi
Paractaea rufopunctata
Paracyathus pulchellus
Paraeuchaeta hebes
Paragnathia formica
Paragorgia arborea
Paragorgia johnsoni
Paraleucilla magna
Paramuricea biscaya
Paramuricea candida
Paranthura costana
Paranthura nigropunctata
Parapagurus pilosimanus
Parapasiphae sulcatifrons
Parasergestes vigilax
Paratanais martinsi
Paratimea constellata
Paraxanthias eriphioides
Paromola cuvieri
Parvicardium exiguum
Parvicardium vroomi
Parvioris ibizenca
Parviturbo azoricus
Patella aspera
Patella caerulea
Patella candei
Patella ulyssiponensis
Pawsonia saxicola
Pecten maximus
Pedicularia decussata
Pedicularia sicula
Pedipes pedipes
Pelagia noctiluca
Peltaster placenta
Peltodoris atromaculata
Pennaria disticha
Pennatula aculeata
Percnon gibbesi
Percnon planissimum
Perforatus perforatus
Periclimenes sagittifer
Periclimenes scriptus
Periclimenes wirtzi
Perinereis cultrifera
Perinereis oliveirae
Perinereis taorica
Perioculodes longimanus
Perophora viridis
Petromica (Petromica) grimaldii
Petrosia (Petrosia) ficiformis
Phascolosoma (Phascolosoma) stephensoni
Phidiana lynceus
Philine intricata
Philippia hybrida
Philocheras bispinosus
Philocheras fasciatus
Philocheras trispinosus
Phorbas fictitius
Phorbas plumosus
Phorbas tenacior
Phorcus sauciatus
Phoronis hippocrepia
Phoronis psammophila
Phoronopsis harmeri
Phronima sedentaria
Phtisica marina
Physalia physalis
Physetocaris microphthalma
Physophora hydrostatica
Phytosus (Actosus) schatzmayri
Pilumnus hirtellus
Pilumnus inermis
Pilumnus spinifer
Pilumnus villosissimus
Pinctada imbricata radiata
Pinnotheres pisum
Pione vastifica
Pirimela denticulata
Pisa armata
Pisinna glabrata
Pisione remota
Pitar rudis
Placida cremoniana
Placida verticilata
Placogorgia terceira
Plagusia depressa
Planes minutus
Planktomya nilae
Planktomya prima
Platorchestia monodi
Platorchestia platensis
Platydoris argo
Platynereis dumerilii
Platysquilloides lillyae
Plesionika edwardsii
Plesionika martia
Plesionika narval
Pleurocorallium johnsoni
Pleuromamma abdominalis
Pleuromamma borealis
Pleuromamma gracilis
Pleuromamma piseki
Pleuromamma robusta
Pleuromamma xiphias
Plicatotheca anitae
Plinthaster dentatus
Pliobothrus symmetricus
Plumularia setacea
Pneumodermopsis canephora
Pneumodermopsis ciliata
Podocerus chelonophilus
Podocerus variegatus
Pododesmus patelliformis
Poecilasma aurantia
Polinices lacteus
Polititapes aureus
Polybius henslowii
Polycarpa scuba
Polycarpa tenera
Polycera elegans
Polycera quadrilineata
Polycheles typhlops
Polyclinum aurantium
Polymastia penicillus
Polyophthalmus pictus
Polyplumaria flabellata
Polysyncraton asterix
Pontellina plumata
Pontogenia chrysocoma
Pontonia pinnophylax
Portumnus latipes
Priapocephalus grandis
Procambarus clarkii
Processa edulis
Processa parva
Prosuberites longispinus
Protatlanta souleyeti
Protoholozoa pigra
Protohyale (Protohyale) grimaldii
Protohyale (Protohyale) schmidtii
Protosuberites ferrerhernandezi
Psammechinus microtuberculatus
Psammechinus miliaris
Pseudarchaster parelii
Pseudoanthomastus agaricus
Pseudocalanus elongatus
Pseudochama gryphina
Pseudocycnus appendiculatus
Pseudomelampus exiguus
Pseudotorinia architae
Psiloteredo megotara
Pteria hirundo
Puellina macaronensis
